wash,garment,Before transfer,After transfer,value,band
W016,G5,0,4,4,4
W016,G5,0,4,4,6
W016,G5,0,1,1,7
W016,G5,0,11,11,8
W016,G5,0,4,4,9
W017,G1,1,8,7,1
W017,G1,0,8,8,2
W017,G1,0,6,6,3
W017,G1,0,4,4,6
W017,G1,0,3,3,7
W017,G1,0,2,2,8
W017,G2,0,3,3,1
W017,G2,0,3,3,2
W017,G2,0,1,1,3
W017,G2,0,4,4,6
W017,G2,0,2,2,7
W017,G2,0,8,8,8
W017,G3,1,9,8,1
W017,G3,0,7,7,2
W017,G3,0,3,3,3
W017,G3,0,7,7,6
W017,G3,0,3,3,7
W017,G3,0,3,3,8
W017,G4,0,6,6,1
W017,G4,0,5,5,2
W017,G4,0,1,1,3
W017,G4,0,5,5,6
W017,G4,0,4,4,7
W017,G4,0,3,3,8
W017,G5,0,6,6,1
W017,G5,0,5,5,2
W017,G5,0,7,7,3
W017,G5,0,1,1,6
W017,G5,0,9,9,7
W017,G5,0,6,6,8
W018,G1,0,2,2,1
W018,G1,0,7,7,6
W018,G2,1,0,-1,1
W018,G2,0,2,2,6
W018,G3,0,1,1,1
W018,G3,0,0,0,6
W018,G4,0,1,1,1
W018,G4,0,3,3,6
W018,G5,0,0,0,1
W018,G5,0,1,1,6
W019,G1,1,1,0,1
W019,G1,0,0,0,2
W019,G1,0,4,4,3
W019,G1,0,3,3,6
W019,G1,0,3,3,7
W019,G1,0,7,7,8
W019,G2,0,1,1,1
W019,G2,0,0,0,2
W019,G2,0,0,0,3
W019,G2,0,7,7,6
W019,G2,1,8,7,7
W019,G2,0,6,6,8
W019,G3,0,5,5,1
W019,G3,0,2,2,2
W019,G3,0,5,5,3
W019,G3,0,2,2,6
W019,G3,0,1,1,7
W019,G3,1,0,-1,8
W019,G4,1,4,3,1
W019,G4,0,2,2,2
W019,G4,0,3,3,3
W019,G4,1,4,3,6
W019,G4,0,6,6,7
W019,G4,0,1,1,8
W019,G5,0,3,3,1
W019,G5,0,1,1,2
W019,G5,2,0,-2,3
W019,G5,0,3,3,6
W019,G5,0,1,1,7
W019,G5,0,7,7,8
W020,G1,1,5,4,1
W020,G1,0,2,2,6
W020,G2,0,3,3,1
W020,G2,0,5,5,6
W020,G3,0,4,4,1
W020,G3,0,8,8,6
W020,G4,0,3,3,1
W020,G4,0,3,3,6
W020,G5,0,3,3,1
W020,G5,0,4,4,6
W021,G1,0,3,3,10
W021,G1,0,0,0,1
W021,G1,0,0,0,2
W021,G1,1,2,1,3
W021,G1,0,2,2,4
W021,G1,0,2,2,5
W021,G1,0,2,2,6
W021,G1,1,1,0,7
W021,G1,1,2,1,8
W021,G1,0,0,0,9
W021,G2,0,1,1,10
W021,G2,2,4,2,1
W021,G2,0,2,2,2
W021,G2,1,1,0,3
W021,G2,0,1,1,4
W021,G2,0,3,3,5
W021,G2,0,1,1,6
W021,G2,1,1,0,7
W021,G2,0,5,5,8
W021,G2,0,1,1,9
W021,G3,0,3,3,10
W021,G3,0,1,1,1
W021,G3,0,4,4,2
W021,G3,0,4,4,3
W021,G3,2,3,1,4
W021,G3,0,7,7,5
W021,G3,0,2,2,6
W021,G3,0,4,4,7
W021,G3,0,6,6,8
W021,G3,0,4,4,9
W021,G4,0,0,0,10
W021,G4,0,7,7,1
W021,G4,1,1,0,2
W021,G4,1,0,-1,3
W021,G4,0,0,0,4
W021,G4,1,4,3,5
W021,G4,0,1,1,6
W021,G4,0,0,0,7
W021,G4,1,6,5,8
W021,G4,0,3,3,9
W021,G5,1,2,1,10
W021,G5,0,3,3,1
W021,G5,0,2,2,2
W021,G5,0,5,5,3
W021,G5,2,2,0,4
W021,G5,0,3,3,5
W021,G5,0,4,4,6
W021,G5,1,5,4,7
W021,G5,0,2,2,8
W021,G5,0,2,2,9
W022,G1,0,4,4,1
W022,G1,0,3,3,6
W022,G2,0,5,5,1
W022,G2,0,6,6,6
W022,G3,0,3,3,1
W022,G3,0,5,5,6
W022,G4,0,2,2,1
W022,G4,0,0,0,6
W022,G5,0,6,6,1
W022,G5,0,2,2,6
W023,G1,0,1,1,1
W023,G1,0,3,3,2
W023,G1,0,1,1,3
W023,G1,0,2,2,6
W023,G1,0,2,2,7
W023,G1,0,0,0,8
W023,G2,1,2,1,1
W023,G2,0,2,2,2
W023,G2,0,0,0,3
W023,G2,0,2,2,6
W023,G2,1,1,0,7
W023,G2,1,9,8,8
W023,G3,0,1,1,1
W023,G3,0,3,3,2
W023,G3,1,1,0,3
W023,G3,1,1,0,6
W023,G3,1,0,-1,7
W023,G3,0,1,1,8
W023,G4,0,3,3,1
W023,G4,0,0,0,2
W023,G4,0,0,0,3
W023,G4,0,3,3,6
W023,G4,0,4,4,7
W023,G4,0,2,2,8
W023,G5,0,2,2,1
W023,G5,0,3,3,2
W023,G5,0,2,2,3
W023,G5,0,2,2,6
W023,G5,0,2,2,7
W023,G5,1,1,0,8
W024,G1,0,2,2,1
W024,G1,1,3,2,6
W024,G2,0,3,3,1
W024,G2,0,0,0,6
W024,G3,1,2,1,1
W024,G3,0,0,0,6
W024,G4,0,1,1,1
W024,G4,0,2,2,6
W024,G5,0,1,1,1
W024,G5,3,3,0,6
W025,G1,0,1,1,1
W025,G1,0,1,1,2
W025,G1,0,0,0,3
W025,G1,0,1,1,6
W025,G1,0,3,3,7
W025,G1,0,1,1,8
W025,G2,0,1,1,1
W025,G2,0,1,1,2
W025,G2,1,2,1,3
W025,G2,1,3,2,6
W025,G2,0,3,3,7
W025,G2,0,1,1,8
W025,G3,1,3,2,1
W025,G3,0,2,2,2
W025,G3,0,2,2,3
W025,G3,0,0,0,6
W025,G3,0,1,1,7
W025,G3,0,4,4,8
W025,G4,0,3,3,1
W025,G4,0,1,1,2
W025,G4,0,1,1,3
W025,G4,0,1,1,6
W025,G4,0,2,2,7
W025,G4,0,3,3,8
W025,G5,0,5,5,1
W025,G5,0,1,1,2
W025,G5,0,0,0,3
W025,G5,0,1,1,6
W025,G5,1,1,0,7
W025,G5,0,3,3,8
W026,G1,0,7,7,1
W026,G1,0,3,3,4
W026,G1,0,1,1,6
W026,G1,0,1,1,9
W026,G2,0,1,1,1
W026,G2,0,0,0,4
W026,G2,0,2,2,6
W026,G2,0,1,1,9
W026,G3,0,1,1,1
W026,G3,1,2,1,4
W026,G3,0,2,2,6
W026,G3,0,1,1,9
W026,G4,0,0,0,1
W026,G4,0,2,2,4
W026,G4,0,0,0,6
W026,G4,0,0,0,9
W026,G5,0,0,0,1
W026,G5,0,0,0,4
W026,G5,0,0,0,6
W026,G5,0,0,0,9
W027,G1,0,3,3,1
W027,G1,0,0,0,2
W027,G1,1,1,0,3
W027,G1,0,1,1,6
W027,G1,0,1,1,7
W027,G1,0,0,0,8
W027,G2,0,1,1,1
W027,G2,0,0,0,2
W027,G2,0,2,2,3
W027,G2,0,5,5,6
W027,G2,0,0,0,7
W027,G2,0,1,1,8
W027,G3,0,1,1,1
W027,G3,0,0,0,2
W027,G3,0,2,2,3
W027,G3,0,3,3,6
W027,G3,0,2,2,7
W027,G3,0,2,2,8
W027,G4,0,3,3,1
W027,G4,0,4,4,2
W027,G4,0,1,1,3
W027,G4,0,6,6,6
W027,G4,0,1,1,7
W027,G4,0,2,2,8
W027,G5,0,1,1,1
W027,G5,0,3,3,2
W027,G5,0,0,0,3
W027,G5,0,1,1,6
W027,G5,0,1,1,7
W027,G5,0,4,4,8
W028,G1,1,2,1,1
W028,G1,0,2,2,6
W028,G2,0,1,1,1
W028,G2,0,0,0,6
W028,G3,0,3,3,1
W028,G3,0,2,2,6
W028,G4,0,0,0,1
W028,G4,0,2,2,6
W028,G5,1,1,0,1
W028,G5,0,2,2,6
W029,G1,0,2,2,1
W029,G1,0,0,0,2
W029,G1,0,2,2,3
W029,G1,0,2,2,6
W029,G1,0,2,2,7
W029,G1,0,4,4,8
W029,G2,0,0,0,1
W029,G2,0,2,2,2
W029,G2,0,1,1,3
W029,G2,0,2,2,6
W029,G2,0,0,0,7
W029,G2,0,0,0,8
W029,G3,0,2,2,1
W029,G3,0,1,1,2
W029,G3,0,1,1,3
W029,G3,1,1,0,6
W029,G3,1,2,1,7
W029,G3,1,1,0,8
W029,G4,0,0,0,1
W029,G4,0,6,6,2
W029,G4,0,2,2,3
W029,G4,0,1,1,6
W029,G4,0,3,3,7
W029,G4,0,2,2,8
W029,G5,0,3,3,1
W029,G5,0,2,2,2
W029,G5,0,1,1,3
W029,G5,0,3,3,6
W029,G5,0,2,2,7
W029,G5,1,6,5,8
W030,G1,0,2,2,1
W030,G1,1,0,-1,6
W030,G2,0,1,1,1
W030,G2,0,0,0,6
W030,G3,0,0,0,1
W030,G3,0,1,1,6
W030,G4,2,5,3,1
W030,G4,0,0,0,6
W030,G5,0,0,0,1
W030,G5,0,2,2,6
W031,G1,0,2,2,10
W031,G1,0,4,4,1
W031,G1,0,3,3,2
W031,G1,0,2,2,3
W031,G1,0,2,2,4
W031,G1,0,0,0,5
W031,G1,0,1,1,6
W031,G1,1,3,2,7
W031,G1,0,0,0,8
W031,G1,0,14,14,9
W031,G2,0,6,6,10
W031,G2,0,1,1,1
W031,G2,0,2,2,2
W031,G2,0,2,2,3
W031,G2,0,0,0,4
W031,G2,0,2,2,5
W031,G2,0,4,4,6
W031,G2,1,0,-1,7
W031,G2,0,0,0,8
W031,G2,0,2,2,9
W031,G3,1,3,2,10
W031,G3,1,3,2,1
W031,G3,0,5,5,2
W031,G3,0,1,1,3
W031,G3,0,3,3,4
W031,G3,0,0,0,5
W031,G3,1,2,1,6
W031,G3,0,0,0,7
W031,G3,0,4,4,8
W031,G3,0,1,1,9
W031,G4,0,3,3,10
W031,G4,0,1,1,1
W031,G4,0,1,1,2
W031,G4,0,0,0,3
W031,G4,0,3,3,4
W031,G4,0,1,1,5
W031,G4,0,4,4,6
W031,G4,0,1,1,7
W031,G4,0,4,4,8
W031,G4,0,4,4,9
W031,G5,0,1,1,10
W031,G5,0,2,2,1
W031,G5,0,3,3,2
W031,G5,0,2,2,3
W031,G5,0,2,2,4
W031,G5,0,4,4,5
W031,G5,0,1,1,6
W031,G5,0,3,3,7
W031,G5,0,4,4,8
W031,G5,0,5,5,9
W032,G1,0,1,1,1
W032,G1,2,1,-1,6
W032,G2,0,0,0,1
W032,G2,0,0,0,6
W032,G3,1,0,-1,1
W032,G3,0,0,0,6
W032,G4,0,1,1,1
W032,G4,0,0,0,6
W032,G5,0,0,0,1
W032,G5,1,1,0,6
W033,G1,1,0,-1,1
W033,G1,1,2,1,2
W033,G1,0,2,2,3
W033,G1,1,0,-1,6
W033,G1,0,1,1,7
W033,G1,0,1,1,8
W033,G2,0,1,1,1
W033,G2,0,0,0,2
W033,G2,0,1,1,3
W033,G2,0,3,3,6
W033,G2,0,5,5,7
W033,G2,0,0,0,8
W033,G3,0,0,0,1
W033,G3,0,1,1,2
W033,G3,1,5,4,3
W033,G3,0,1,1,6
W033,G3,0,0,0,7
W033,G3,0,2,2,8
W033,G4,0,1,1,1
W033,G4,0,2,2,2
W033,G4,0,2,2,3
W033,G4,0,1,1,6
W033,G4,0,1,1,7
W033,G4,0,4,4,8
W033,G5,0,0,0,1
W033,G5,0,0,0,2
W033,G5,0,4,4,3
W033,G5,2,1,-1,6
W033,G5,0,4,4,7
W033,G5,1,2,1,8
W034,G1,1,0,-1,1
W034,G1,0,0,0,6
