date,exp,wash,garment,band,sample,Before transfer,After transfer,value
20230717,MP,W015,G2,9,B,0,9,9
20230717,MP,W015,G3,10,B,2,4,2
20230717,MP,W015,G3,1,B,1,4,3
20230717,MP,W015,G3,2,B,1,1,0
20230717,MP,W015,G3,3,B,0,2,2
20230717,MP,W015,G3,4,B,1,11,10
20230717,MP,W015,G3,5,B,0,7,7
20230717,MP,W015,G3,6,B,1,10,9
20230717,MP,W015,G3,7,B,0,6,6
20230717,MP,W015,G3,8,B,2,5,3
20230717,MP,W015,G3,9,B,0,9,9
20230808,MP,W018,G1,10,B,0,5,5
20230808,MP,W018,G1,1,B,0,7,7
20230808,MP,W018,G1,2,B,0,8,8
20230808,MP,W018,G1,3,B,0,NA,NA
20230808,MP,W018,G1,4,B,0,4,4
20230808,MP,W018,G1,5,B,0,7,7
20230808,MP,W018,G1,6,B,0,3,3
20230808,MP,W018,G1,7,B,0,9,9
20230808,MP,W018,G1,8,B,0,11,11
20230808,MP,W018,G1,9,B,0,9,9
20230808,MP,W018,G2,10,B,0,13,13
20230808,MP,W018,G2,1,B,0,6,6
20230808,MP,W018,G2,2,B,0,5,5
20230808,MP,W018,G2,3,B,0,13,13
20230808,MP,W018,G2,4,B,0,8,8
20230808,MP,W018,G2,5,B,0,9,9
20230808,MP,W018,G2,6,B,0,12,12
20230808,MP,W018,G2,7,B,0,11,11
20230808,MP,W018,G2,8,B,0,7,7
20230808,MP,W018,G2,9,B,0,7,7
20230808,MP,W018,G3,10,B,0,15,15
20230808,MP,W018,G3,1,B,0,4,4
20230808,MP,W018,G3,2,B,0,2,2
20230808,MP,W018,G3,3,B,0,3,3
20230808,MP,W018,G3,4,B,0,7,7
20230808,MP,W018,G3,5,B,0,4,4
20230808,MP,W018,G3,6,B,0,5,5
20230808,MP,W018,G3,7,B,0,8,8
20230808,MP,W018,G3,8,B,0,7,7
20230808,MP,W018,G3,9,B,0,7,7
20230808,MP,W019,G1,10,B,0,8,8
20230808,MP,W019,G1,1,B,0,8,8
20230808,MP,W019,G1,2,B,0,6,6
20230808,MP,W019,G1,3,B,1,7,6
20230808,MP,W019,G1,4,B,0,6,6
20230808,MP,W019,G1,5,B,0,5,5
20230808,MP,W019,G1,6,B,0,3,3
20230808,MP,W019,G1,7,B,0,10,10
20230808,MP,W019,G1,8,B,0,3,3
20230808,MP,W019,G1,9,B,1,12,11
20230808,MP,W019,G2,10,B,1,11,10
20230808,MP,W019,G2,1,B,0,8,8
20230808,MP,W019,G2,2,B,0,5,5
20230808,MP,W019,G2,3,B,2,4,2
20230808,MP,W019,G2,4,B,0,6,6
20230808,MP,W019,G2,5,B,0,0,0
20230808,MP,W019,G2,6,B,1,3,2
20230808,MP,W019,G2,7,B,0,9,9
20230808,MP,W019,G2,8,B,0,4,4
20230808,MP,W019,G2,9,B,0,6,6
20230808,MP,W019,G3,10,B,0,13,13
20230808,MP,W019,G3,1,B,0,4,4
20230808,MP,W019,G3,2,B,0,2,2
