wash,garment,band,orientation,condition,Before transfer,After transfer,value
W023,G1,3,para,B,0,1,1
W023,G1,6,perp,B,0,2,2
W023,G1,7,perp,B,0,2,2
W023,G1,8,perp,B,0,0,0
W023,G2,1,para,B,1,2,1
W023,G2,2,para,B,0,2,2
W023,G2,3,para,B,0,0,0
W023,G2,6,perp,B,0,2,2
W023,G2,7,perp,B,1,1,0
W023,G2,8,perp,B,1,9,8
W023,G3,1,para,B,0,1,1
W023,G3,2,para,B,0,3,3
W023,G3,3,para,B,1,1,0
W023,G3,6,perp,B,1,1,0
W023,G3,7,perp,B,1,0,-1
W023,G3,8,perp,B,0,1,1
W023,G4,1,para,B,0,3,3
W023,G4,2,para,B,0,0,0
