Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F1_R10_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C10_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C2_AW.TIF,6,0.262,0.044,0.666,0.401,0.779,
G14_F2_R10_C3_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C4_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C5_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C6_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C7_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C8_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R10_C9_AW.TIF,0,0,NaN,0,NaN,NaN,
G14_F2_R6_C1_AW.TIF,9,0.677,0.075,0.729,0.28,0.646,
G14_F2_R1_C5_AW.TIF,2,0.062,0.031,0.051,0.199,0.669,
G14_F2_R1_C7_AW.TIF,18,2.208,0.123,1.819,0.248,0.606,
G14_F2_R1_C8_AW.TIF,3,0.433,0.144,0.357,0.192,0.649,
G14_F1_R10_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R10_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C10_B.TIF,1,0.007,0.007,0.008,0.304,0.686,
G14_F1_R1_C1_B.TIF,0,0,NaN,0,NaN,NaN,
