Slice,Count,Total Area,Average Size,%Area,Mean,,
G1_F1_R6_C3_B.TIF,1,0.008,0.008,0.007,0.802,0.156,0.383
G1_F1_R6_C4_AW.TIF,3,0.112,0.037,0.092,2.026,0.113,0.312
G1_F1_R6_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C5_AW.TIF,4,0.166,0.042,0.137,1.634,0.243,0.541
G1_F1_R6_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C6_AW.TIF,7,0.283,0.04,0.233,2.388,0.111,0.322
G1_F1_R6_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C7_AW.TIF,6,0.135,0.023,0.111,1.341,0.216,0.518
G1_F1_R6_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C8_AW.TIF,1,0.008,0.008,0.007,0.367,0.759,0.901
G1_F1_R6_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R6_C9_AW.TIF,7,0.18,0.026,0.149,1.627,0.173,0.405
G1_F1_R6_C9_B.TIF,3,0.029,0.01,0.024,0.837,0.218,0.586
G1_F1_R7_C1_AW.TIF,2,0.023,0.012,0.03,0.902,0.179,0.454
G1_F1_R7_C1_B.TIF,1,0.009,0.009,0.007,0.763,0.193,0.38
G1_F1_R7_C10_AW.TIF,13,0.292,0.022,0.24,1.404,0.212,0.458
G1_F1_R7_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R7_C2_AW.TIF,10,0.309,0.031,0.254,1.94,0.154,0.353
G1_F1_R7_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R7_C3_AW.TIF,4,0.317,0.079,0.261,3.544,0.067,0.227
G1_F1_R7_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R7_C4_AW.TIF,6,0.128,0.021,0.106,1.424,0.202,0.431
G1_F1_R7_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R7_C5_AW.TIF,11,0.404,0.037,0.333,1.789,0.257,0.506
G1_F1_R7_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R7_C6_AW.TIF,4,0.169,0.042,0.139,2.224,0.159,0.415
G1_F1_R7_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R7_C7_AW.TIF,3,0.126,0.042,0.104,1.919,0.225,0.508
G1_F1_R7_C7_B.TIF,1,0.008,0.008,0.006,0.374,0.704,0.899
G1_F1_R7_C8_AW.TIF,7,0.251,0.036,0.207,2.154,0.171,0.383
G1_F1_R7_C8_B.TIF,1,0.006,0.006,0.005,0.429,0.417,0.766
G1_F1_R7_C9_AW.TIF,5,0.148,0.03,0.122,1.657,0.233,0.43
G1_F1_R7_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C1_AW.TIF,6,0.14,0.023,0.178,1.512,0.222,0.46
G1_F1_R8_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C10_AW.TIF,5,0.167,0.033,0.137,1.814,0.167,0.393
G1_F1_R8_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C2_AW.TIF,10,0.314,0.031,0.258,1.93,0.236,0.45
G1_F1_R8_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C3_AW.TIF,5,0.132,0.026,0.109,1.693,0.168,0.376
G1_F1_R8_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C4_AW.TIF,6,0.188,0.031,0.155,1.261,0.309,0.586
G1_F1_R8_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C5_AW.TIF,8,0.214,0.027,0.176,1.59,0.205,0.436
G1_F1_R8_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C6_AW.TIF,5,0.097,0.019,0.08,1.161,0.198,0.419
G1_F1_R8_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C7_AW.TIF,5,0.268,0.054,0.221,2.521,0.124,0.352
G1_F1_R8_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C8_AW.TIF,5,0.184,0.037,0.151,1.943,0.153,0.376
G1_F1_R8_C8_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R8_C9_AW.TIF,4,0.189,0.047,0.155,2.656,0.132,0.323
G1_F1_R8_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R9_C1_AW.TIF,2,0.071,0.036,0.091,2.132,0.1,0.252
G1_F1_R9_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R9_C10_AW.TIF,14,0.386,0.028,0.318,1.45,0.249,0.534
G1_F1_R9_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R9_C2_AW.TIF,5,0.167,0.033,0.138,1.824,0.199,0.456
G1_F1_R9_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R9_C3_AW.TIF,6,0.272,0.045,0.224,1.982,0.173,0.367
G1_F1_R9_C3_B.TIF,3,0.025,0.008,0.02,0.636,0.268,0.559
G1_F1_R9_C4_AW.TIF,1,0.038,0.038,0.031,2.478,0.078,0.214
G1_F1_R9_C4_B.TIF,2,0.025,0.013,0.021,0.7,0.36,0.662
G1_F1_R9_C5_AW.TIF,3,0.061,0.02,0.051,1.276,0.164,0.432
G1_F1_R9_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
